latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.21265,9.226619,243.0,7200,Europe/Berlin,GMT+2

time,snowfall_sum (cm),precipitation_sum (mm),weather_code (wmo code),precipitation_hours (h),cloud_cover_mean (%),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),wind_speed_10m_mean (km/h),shortwave_radiation_sum (MJ/m²),soil_temperature_0_to_100cm_mean (°C),sunshine_duration (s),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
2000-01-01,0.00,2.00,53,6.0,98,0.13,0.391,11.6,0.62,3.5,0.00,3.9,0.8,97,1.9
2000-01-02,0.00,0.00,3,0.0,85,0.22,0.395,10.8,2.65,3.6,18433.65,2.9,0.4,97,2.1
2000-01-03,0.00,0.00,3,0.0,100,0.20,0.398,17.1,1.91,3.7,6664.45,3.8,1.4,96,2.7
2000-01-04,0.00,7.70,53,18.0,99,0.14,0.402,17.3,0.43,3.8,0.00,6.3,2.2,95,4.1
2000-01-05,0.00,1.00,53,3.0,57,0.41,0.407,14.7,3.59,4.0,23930.29,6.2,1.3,87,3.2
2000-01-06,0.00,0.40,51,2.0,82,0.25,0.405,16.0,2.97,4.0,24039.77,4.5,2.6,95,3.7
2000-01-07,0.00,0.20,51,1.0,88,0.27,0.404,12.2,2.02,4.3,10290.49,6.2,4.0,94,5.1
2000-01-08,0.00,0.50,51,3.0,81,0.25,0.402,14.3,1.57,4.3,8269.71,4.5,2.3,92,3.6
2000-01-09,0.00,0.60,51,4.0,100,0.21,0.402,6.6,1.45,4.5,123.80,4.9,2.0,96,4.1
2000-01-10,0.00,0.00,3,0.0,94,0.28,0.401,4.5,2.53,4.2,10196.31,2.5,-0.1,89,1.3
2000-01-11,0.00,0.00,3,0.0,64,0.34,0.399,7.3,4.08,3.8,21529.19,2.8,-2.5,89,-0.1
2000-01-12,0.00,0.00,3,0.0,88,0.30,0.397,13.1,2.99,3.5,22348.37,1.3,-1.1,91,0.1
2000-01-13,0.00,0.00,3,0.0,92,0.41,0.395,13.5,3.65,3.3,24485.13,0.9,-2.2,83,-0.8
2000-01-14,0.00,0.00,3,0.0,94,0.23,0.394,7.7,1.72,3.1,561.77,2.3,-0.8,92,0.5
2000-01-15,0.07,0.00,71,0.0,91,0.22,0.392,6.2,1.21,3.0,0.00,2.0,-0.5,91,0.5
2000-01-16,0.28,0.30,71,3.0,94,0.21,0.391,12.0,0.77,2.9,0.00,3.1,-1.0,89,0.9
2000-01-17,0.00,0.20,51,2.0,100,0.20,0.391,26.8,0.94,3.2,0.00,5.5,3.1,95,4.6
2000-01-18,0.00,1.80,51,7.0,73,0.44,0.392,27.1,2.20,3.6,12679.36,5.1,1.3,88,4.1
2000-01-19,0.00,0.00,3,0.0,49,0.48,0.391,13.6,3.74,3.3,23477.68,2.6,-0.5,82,0.6
2000-01-20,0.14,2.10,71,12.0,88,0.35,0.389,18.5,0.96,3.0,0.00,2.9,-0.5,88,1.4
2000-01-21,0.00,4.90,53,16.0,81,0.36,0.390,20.2,2.70,3.1,19005.30,3.1,-0.4,90,2.1
2000-01-22,4.41,8.10,75,18.0,99,0.21,0.390,12.3,1.69,3.0,81.22,2.0,-0.3,93,1.1
2000-01-23,0.91,0.90,73,4.0,64,0.37,0.390,10.6,3.95,2.9,15496.19,0.8,-6.9,85,-1.7
2000-01-24,0.00,0.00,3,0.0,42,0.44,0.389,4.3,5.55,2.6,25510.35,-3.5,-9.2,60,-5.8
2000-01-25,0.00,0.00,3,0.0,11,0.40,0.388,6.8,5.70,2.4,26250.97,-2.6,-10.5,72,-6.6
2000-01-26,0.42,0.00,71,0.0,90,0.28,0.387,14.8,1.47,2.2,0.00,0.6,-10.5,85,-3.9
2000-01-27,0.00,0.00,3,0.0,77,0.43,0.386,15.8,3.91,2.1,21857.15,1.6,-2.0,86,-0.3
2000-01-28,0.00,0.00,3,0.0,81,0.80,0.385,18.9,5.49,2.0,25256.68,1.6,-4.2,72,-1.4
2000-01-29,0.28,11.70,71,20.0,99,0.33,0.389,30.2,0.64,1.9,0.00,7.2,1.4,91,4.0
2000-01-30,0.00,9.90,63,16.0,69,0.67,0.405,23.7,4.85,2.0,25538.15,8.3,3.9,87,6.0
